"loc_id","latitude","longitude","Prov","region","BlockCode","bcr"
"L19132",49.862,-97.176,"MB","PR","14UPA",11
"L19133",44.251,-76.471,"ON","ON","18TUQ",13
"L18898",48.76667,-123.45,"BC","BC","10UDV",5
"L18899",45.537,-73.339,"QC","QC","18TXR",13
"L18900",45.2,-72.35,"QC","QC","18TYR",14
"L19134",46.31716,-74.226165,"QC","QC","18TWS",12
"L19135",51.08333,-121.58333,"BC","BC","10UEB",9
"L71552",51.75068,-121.34175,"BC","BC","10UFC",10
"L18901",43.69,-79.432,"ON","ON","17TPJ",13
"L19136",45.342,-75.889,"ON","ON","18TVR",13
"L18902",44.56667,-80.433333,"ON","ON","17TNK",13
"L19137",43.840168,-79.6230032,"ON","ON","17TPJ",13
"L19138",49.743,-97.198,"MB","PR","14UPA",11
"L18903",43.159,-80.259,"ON","ON","17TNH",13
"L19139",44.014,-79.437,"ON","ON","17TPJ",13
"L19140",43.817,-79.369,"ON","ON","17TPJ",13
"L19141",55.75,-97.75,"MB","PR","14UNG",8
"L18904",43.398,-80.371,"ON","ON","17TNJ",13
"L19142",49.08333,-122.03333,"BC","BC","10UEV",5
"L18905",48.95,-57.95,"NL","AT","21UVQ",8
"L19157",45.15,-79.116667,"ON","ON","17TPL",12
"L18906",42.33333,-82,"ON","ON","17TMG",13
"L19158",45.01667,-75.633333,"ON","ON","18TVQ",13
"L19159",43.3156393,-80.3694588,"ON","ON","17TNH",13
"L18907",48.652,-123.427,"BC","BC","10TDU",5
"L19160",48.652,-123.427,"BC","BC","10TDU",5
"L18908",46.129,-60.211,"NS","AT","20TQS",14
"L18909",45.35,-76.033333,"ON","ON","18TVR",13
"L19161",45.537,-73.339,"QC","QC","18TXR",13
"L18923",45.442,-73.589,"QC","QC","18TXR",13
"L18924",43.26667,-81.133333,"ON","ON","17TMH",13
"L19162",49.66667,-124.91667,"BC","BC","10UCA",5
"L19163",49.342,-123.201,"BC","BC","10UDV",5
"L19164",44.237,-76.555,"ON","ON","18TUP",13
"L19165",43.15,-80.9,"ON","ON","17TNH",13
"L18926",46.05,-74.283333,"QC","QC","18TWR",12
"L71554",45.49,-73.6,"QC","QC","18TXR",13
"L18927",44.95,-65.066667,"NS","AT","20TLQ",14
"L19166",45.316,-75.829,"ON","ON","18TVR",13
"L18928",45.9002,-64.3696,"NB","AT","20TLR",14
"L19167",53.28333,-112.43333,"AB","PR","12UVE",11
"L19168",49.836,-97.107,"MB","PR","14UPA",11
"L19169",45.08333,-74.166667,"QC","QC","18TWQ",13
"L18929",49.26,-122.56,"BC","BC","10UEV",5
"L19170",52.13333,-122.15,"BC","BC","10UEC",10
"L19184",50.6730465,-120.2398521,"BC","BC","10UFB",9
"L18930",50.88333,-109.51667,"SK","PR","12UXB",11
"L19185",49.45,-120.51667,"BC","BC","10UFV",9
"L19186",45.8010736,-74.0453496,"QC","QC","18TWR",12
"L19187",44.6498826,-63.6220579,"NS","AT","20TMQ",14
"L19188",45.399,-75.684,"ON","ON","18TVR",13
"L18931",43.762,-79.198,"ON","ON","17TPJ",13
"L19189",43.729,-79.311,"ON","ON","17TPJ",13
"L18932",43.709,-79.445,"ON","ON","17TPJ",13
"L18933",43.88,-79.43,"ON","ON","17TPJ",13
"L18934",45.6,-70.883333,"QC","QC","19TCL",14
"L19190",48.78333,-123.7,"BC","BC","10UDV",5
"L71555",43.51667,-80.45,"ON","ON","17TNJ",13
"L19191",43.51667,-80.45,"ON","ON","17TNJ",13
"L18935",50.06667,-96.55,"MB","PR","14UPA",6
"L18936",47.31667,-79.433333,"QC","QC","17TPN",12
"L71556",49.88,-97.24,"MB","PR","14UPA",11
"L19192",49.88333,-96.85,"MB","PR","14UPA",11
